variant,run,seconds,pass,detail
spec,0,179,PASS,genned=5
node,0,581,FAIL,
spec,2,184,PASS,genned=5
spec,3,193,PASS,genned=5
spec,1,194,PASS,genned=5
spec,4,196,PASS,genned=5
spec,6,213,PASS,genned=5
spec,5,246,PASS,genned=5
spec,7,198,PASS,genned=5
spec,8,175,PASS,genned=5
spec,9,201,PASS,genned=5
spec,10,183,PASS,genned=5
node,0,767,PASS,
node,3,324,PASS,
node,2,347,PASS,
node,1,394,PASS,
node,5,185,PASS,
node,6,417,PASS,
node,4,626,PASS,
node,7,447,PASS,
node,8,250,PASS,
node,9,373,PASS,
node,10,567,PASS,
